source,name,sport,person_type,country_as_listed,taiwan_excluded,nationality_review,sanction,source_status,decision_url,named,resolved_or_announced_with_link,name_key,name_matches_existing,publication_approved
USADA,"Edwards, Jayden",Powerlifting,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/jayden-edwards-accepts-doping-sanction/,True,True,edwards jayden,False,False
USADA,"Dondzila, Nicholas",Weightlifting,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/nicholas-dondzila-receives-doping-sanction/,True,True,dondzila nicholas,False,False
USADA,"Gilman, Thomas",Wrestling,not separately classified in source table,,False,pending_individual_verification,18-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/thomas-gilman-accepts-whereabouts-sanction/,True,True,gilman thomas,False,False
USADA,"Waldon, Aaron",Boxing,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/aaron-waldon-accepts-doping-sanction/,True,True,aaron waldon,False,False
USADA,"Ruiz, Zebenzui",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,6-Month Suspension,announced,https://www.usada.org/sanction/zebenzui-ruiz-accepts-doping-sanction/,True,True,ruiz zebenzui,False,False
USADA,"Santos, Taila",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,6-Month Suspension,announced,https://www.usada.org/sanction/taila-santos-accepts-doping-sanction/,True,True,santos taila,False,False
USADA,"Alaqraa, Mohammad",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,6-Month Suspension,announced,https://www.usada.org/sanction/mohammad-alaqraa-accepts-doping-sanction/,True,True,alaqraa mohammad,False,False
USADA,"Carter Jr., James",Track and Field,not separately classified in source table,,False,pending_individual_verification,1-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/james-carter-jr-accepts-doping-sanction/,True,True,carter james jr,False,False
USADA,"Jackson, Shawnti",Track and Field,not separately classified in source table,,False,pending_individual_verification,Public Warning,announced,https://www.usada.org/sanction/shawnti-jackson-accepts-public-warning/,True,True,jackson shawnti,False,False
USADA,"Winkler, Isabella",Boxing,not separately classified in source table,,False,pending_individual_verification,6-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/isabella-winkler-accepts-doping-sanction/,True,True,isabella winkler,False,False
USADA,"Sousa Costa, Cassio Felipe",Brazilian Jiu-Jitsu,not separately classified in source table,,False,pending_individual_verification,1-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/cassio-felipe-sousa-costa-doping-sanction/,True,True,cassio costa felipe sousa,False,False
USADA,"Prince, David",Para Track and Field,not separately classified in source table,,False,pending_individual_verification,7-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/david-prince-second-violation/,True,True,david prince,False,False
USADA,"Quinn, Michelle",Bobsled,not separately classified in source table,,False,pending_individual_verification,Public Warning,announced,https://www.usada.org/sanction-public-warning/michelle-quinn-accepts-public-warning/,True,True,michelle quinn,False,False
USADA,"Wilson, Jay Jay",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,3-Month Suspension,announced,https://www.usada.org/sanction/jay-jay-wilson-doping-sanction/,True,True,jay jay wilson,False,False
USADA,"Karaś, Robert",Ultra Triathlon,not separately classified in source table,,False,pending_individual_verification,8-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/independent-arbitrator-imposes-sanction-robert-karas/,True,True,karas robert,False,False
USADA,"Moldauer, Yul",Gymnastics,not separately classified in source table,,False,pending_individual_verification,16-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/yul-moldauer-accepts-whereabouts-sanction/,True,True,moldauer yul,False,False
USADA,"Provisor, Ben",Wrestling,not separately classified in source table,,False,pending_individual_verification,18-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/ben-provisor-accepts-whereabouts-violation/,True,True,ben provisor,False,False
USADA,"Madge, Don",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Sanction tolled due to retirement,announced,https://www.usada.org/sanction/don-madge-accepts-doping-sanction/,True,True,don madge,False,False
USADA,"Pierce, Nicholas",Snowboarding,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/nicholas-pierce-accepts-doping-sanction/,True,True,nicholas pierce,False,False
USADA,"Turner, Loretta",Track and Field,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/loretta-turner-receives-doping-sanction/,True,True,loretta turner,False,False
USADA,"Pimenta, Pedro",Brazilian Jiu-Jitsu,not separately classified in source table,,False,pending_individual_verification,1-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/pedro-pimenta-accepts-doping-sanction/,True,True,pedro pimenta,False,False
